,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,156.0,6860.0,14135181.82699474,154.0,7596.0,15532469.082127089,156.0,5507.0,19553336.612425085,0.0,276.0,23753.0,31421185.062695093,276.0,23704.0,48856498.812712915,171.0,12052646.704124745,6457.0
1,120.0,6882.0,17732535.8826102,121.0,7411.0,13679241.990616484,131.0,7119.0,17142197.577776693,0.0,249.0,29542.0,37532083.891615145,254.0,29628.0,50812903.99804037,123.0,11032374.859838188,6722.0
2,153.0,7173.0,16415641.473882645,124.0,7592.0,14761221.646040315,151.0,6983.0,19517323.72473767,0.0,269.0,27009.0,42211620.51860733,260.0,25586.0,57811240.2947045,135.0,11163975.206277292,6769.0
3,114.0,6415.0,18850517.954703737,111.0,7731.0,13261245.06802552,136.0,7092.0,18759279.91456753,0.0,257.0,27365.0,36491906.79060306,241.0,25772.0,57387746.029364154,129.0,12467949.539996773,6498.0
4,137.0,6121.0,16281329.451644517,139.0,7465.0,15257019.217801314,131.0,5179.0,19853320.807815924,0.0,258.0,25110.0,37523385.587045155,240.0,23198.0,50907230.18087681,155.0,12187562.562495325,7078.0
5,140.0,6775.0,16700436.369834311,108.0,7656.0,11823434.760512756,129.0,6020.0,19339231.69453164,0.0,265.0,27763.0,39610290.908074014,243.0,26608.0,50167095.567572564,141.0,11629360.769191727,6597.0
6,112.0,6900.0,16412431.154313294,93.0,7757.0,15503683.09202178,115.0,6963.0,18234131.70669404,0.0,240.0,27526.0,36914642.363548845,243.0,27449.0,54089529.84663972,102.0,12023689.078369807,5824.0
7,128.0,6710.0,17667713.84338922,124.0,7541.0,13008534.595590426,144.0,6650.0,19437023.091636818,0.0,279.0,23831.0,34771296.26134813,292.0,25230.0,63661644.548892684,158.0,11434759.189918801,7703.0
8,137.0,5544.0,17465377.365847174,157.0,7867.0,15572948.333510848,151.0,6405.0,18752592.976855736,0.0,279.0,25433.0,33334445.415309437,294.0,26789.0,61761293.525473356,155.0,11583821.063257713,6566.0
9,134.0,6437.0,16220689.481038604,139.0,7600.0,16226687.503116284,163.0,7719.0,17149928.992991447,0.0,268.0,25440.0,31634604.968340456,283.0,26742.0,43970656.17400833,149.0,10635716.749973223,6895.0
10,131.0,7383.0,17045499.201232854,109.0,7874.0,16065758.657256126,118.0,6337.0,19317854.23489061,0.0,237.0,29148.0,39848140.12120438,223.0,27924.0,51590356.366424136,124.0,10230421.82104204,6707.0
11,150.0,7685.0,16114157.085712865,118.0,7666.0,14782096.911707217,142.0,7027.0,19012601.17070958,0.0,304.0,30562.0,38548076.6861332,294.0,28735.0,56325599.08711586,135.0,11184163.212436434,6290.0
12,107.0,6001.0,15341959.130184539,113.0,7882.0,15323715.604397357,134.0,6647.0,18447175.726707086,0.0,264.0,28223.0,36536475.2937681,261.0,27799.0,58703417.47160855,138.0,12116614.422036545,6990.0
