,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,30.0,1588.0,4726578.385962516,47.0,5539.0,4881343.085660426,47.0,3167.0,4582635.078925833,0.0,41.0,4169.0,4519092.429915697,33.0,3331.0,4105653.0911100777,30.0,4726578.385962516,1588.0
1,20.0,636.0,3782212.6561512942,51.0,2776.0,4694568.977466792,43.0,1263.0,4525773.92765753,0.0,55.0,3848.0,4435622.195743356,43.0,3930.0,4381152.01880867,30.0,4431686.474960458,1123.0
2,25.0,2144.0,1877441.6344087035,54.0,3937.0,4869151.697344154,47.0,3000.0,4963121.600920176,0.0,50.0,4617.0,4539490.538610963,43.0,3600.0,3918303.8620291045,49.0,4399205.442785252,3552.0
3,20.0,1313.0,3574606.312153275,41.0,2600.0,4261337.635300534,31.0,962.0,4919669.1773435455,0.0,56.0,4556.0,4775217.165988223,35.0,2573.0,4187357.9155419683,38.0,5200115.25863619,1646.0
4,30.0,1950.0,3847536.6904653576,63.0,4450.0,4717890.92678454,50.0,2747.0,4761122.218620108,0.0,54.0,5666.0,4826021.038459453,38.0,2722.0,3492942.2304775347,54.0,4688623.588996013,3242.0
5,28.0,1791.0,3431647.4938034294,28.0,2239.0,4890180.13197938,29.0,2019.0,4781579.786687883,0.0,48.0,3668.0,4483543.455746366,44.0,3372.0,4282089.038528669,42.0,3527072.4941314696,2795.0
6,19.0,1564.0,3393487.8723204774,40.0,4104.0,4355924.87227653,46.0,3223.0,4838235.938470714,0.0,55.0,4322.0,4848024.913676431,30.0,3738.0,4803283.75865868,42.0,4845979.46699353,2700.0
7,27.0,1268.0,4497051.875844454,47.0,3328.0,4742187.4751733,47.0,2308.0,4809285.99136854,0.0,52.0,4495.0,4590515.54071225,41.0,2581.0,4762720.429218858,48.0,3727243.6977743786,2332.0
8,49.0,2892.0,3951302.803873719,60.0,4350.0,4656532.567776387,30.0,1430.0,4845607.732529769,0.0,71.0,6261.0,4507639.292713284,47.0,3880.0,4340481.245539493,65.0,4516834.189349037,4733.0
9,20.0,902.0,3700948.972844554,35.0,2831.0,4712261.304873831,41.0,1683.0,4778071.173599778,0.0,51.0,3395.0,4818333.523525387,37.0,1890.0,3945850.378517444,47.0,4393178.107610988,2532.0
10,30.0,1321.0,3250874.3798861895,43.0,2744.0,4818871.185607461,58.0,2495.0,4801696.268864196,0.0,34.0,3115.0,4946038.2266647825,37.0,2430.0,3764191.1000292194,30.0,3250874.3798861895,1321.0
11,40.0,1993.0,3617610.2207588907,52.0,5179.0,4879921.067258039,65.0,3896.0,4893671.259635504,0.0,59.0,4670.0,4638039.194266126,37.0,3260.0,4668674.939591052,49.0,4456335.341164561,2620.0
12,39.0,1745.0,4052897.710735403,70.0,4441.0,4519423.615476447,48.0,1602.0,4858535.39416191,0.0,53.0,5608.0,4688306.2329944745,47.0,3215.0,4401762.500245015,39.0,4052897.710735403,1745.0
