,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,72.0,5746.0,11117579.563200317,72.0,5350.0,13626955.375648241,79.0,7035.0,12236342.298427146,79.0,57.0,5920.0,8476148.627874296,55.0,4428.0,13740944.321112353,79.0,10150895.995271185,7035.0
1,104.0,6976.0,10504083.145958168,107.0,7390.0,12416265.866762953,107.0,7390.0,14574256.360980416,107.0,107.0,7390.0,10684548.521725792,94.0,6776.0,13221620.063625652,104.0,9219704.831311658,6666.0
2,76.0,8844.0,12037940.160190932,79.0,9016.0,14587625.446673494,74.0,7224.0,14625624.47686214,80.0,55.0,7357.0,12277215.106725149,54.0,6959.0,13382910.206014857,78.0,10088704.250925696,9015.0
3,66.0,7048.0,12654063.806631533,67.0,7754.0,13696712.059570797,68.0,7946.0,14301283.154682335,68.0,65.0,6842.0,7785715.686517298,66.0,7048.0,11783655.91319045,59.0,9340682.894169878,6647.0
4,81.0,6686.0,14375766.961725278,90.0,7536.0,13486472.295719072,89.0,7084.0,14201183.00817381,91.0,71.0,6478.0,7895595.464026377,66.0,6503.0,12766637.606680332,91.0,9545576.417421658,7897.0
5,89.0,8813.0,13622982.266352966,92.0,8865.0,12387389.902985837,89.0,7958.0,13330822.978458297,93.0,71.0,6716.0,7007323.748979274,76.0,7602.0,12488007.779217564,92.0,9399310.263269117,8865.0
6,82.0,8823.0,13161642.429106176,82.0,8823.0,12100209.731988234,77.0,7139.0,14593596.173059931,82.0,72.0,6611.0,7429400.394645996,61.0,7017.0,11338371.392647203,80.0,9529695.9436921,8264.0
7,61.0,6439.0,11308328.155247297,70.0,8097.0,13936491.121461932,65.0,6613.0,14199514.646455742,71.0,45.0,5875.0,6579838.273831984,50.0,6315.0,12274151.332515288,71.0,10515044.17912073,8210.0
8,82.0,7266.0,12593289.757769747,86.0,8046.0,13161211.075397171,85.0,7776.0,14395153.095361248,86.0,67.0,6447.0,7005229.23574468,68.0,6474.0,12560577.87128592,85.0,7621322.980510283,7776.0
9,81.0,7368.0,12150234.23093795,81.0,7368.0,13662831.601779945,81.0,7368.0,13349373.552899333,81.0,63.0,6080.0,7060138.101850524,65.0,6977.0,8041296.266858777,79.0,8623226.92442444,6471.0
10,70.0,7416.0,12749097.247924246,68.0,7336.0,13490154.396295667,71.0,7612.0,14105450.748439685,71.0,62.0,6839.0,10784356.919158094,52.0,6188.0,11900447.020719374,71.0,10650291.632392947,7612.0
11,75.0,5800.0,14039697.160971174,75.0,6188.0,13999919.601561895,71.0,4952.0,13566776.115014568,76.0,51.0,4711.0,9147044.965158131,54.0,5324.0,14316593.362806216,76.0,9586868.558899624,6336.0
12,85.0,8598.0,9785694.300111873,84.0,7956.0,14367534.83195148,83.0,8230.0,14368209.371830296,88.0,72.0,7461.0,6521580.504039597,85.0,8598.0,11601987.20524837,80.0,9919396.245572068,7639.0
