,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,69.0,3219.0,9369105.935383849,131.0,6369.0,8792039.727343151,93.0,2167.0,9836469.562491026,0.0,109.0,6870.0,8295265.350509827,77.0,4280.0,8981758.001322642,74.0,9144596.541215587,3398.0
1,60.0,3017.0,7351251.213098279,115.0,7062.0,8861499.784887373,75.0,2790.0,9417487.292889565,0.0,97.0,6781.0,8180219.124071479,71.0,5836.0,8036034.316548594,79.0,9830702.227388866,3888.0
2,81.0,3441.0,7489513.003076478,103.0,5966.0,8854164.476268891,108.0,4204.0,9634490.354913464,0.0,98.0,6205.0,7652037.193268067,72.0,4082.0,8655332.814799739,93.0,9046269.091135921,4553.0
3,46.0,2679.0,9272245.754220683,86.0,7729.0,8702366.987579336,78.0,3635.0,9854395.888733914,0.0,75.0,7479.0,6698131.748881652,70.0,6575.0,8045700.602323829,62.0,9351510.545419317,2835.0
4,85.0,4106.0,8576591.337503592,99.0,5798.0,9612335.42908042,107.0,4552.0,9752130.459306262,0.0,90.0,5784.0,8032770.279497949,72.0,5455.0,7174832.339490035,82.0,7405716.683631444,3796.0
5,47.0,2858.0,8135990.456526259,74.0,5866.0,9685810.799092494,87.0,4183.0,9571109.142348649,0.0,98.0,6496.0,8840212.215488423,65.0,4166.0,9653116.679881953,79.0,8343892.697194334,4368.0
6,70.0,4312.0,8456771.410591451,80.0,7675.0,9433061.817509547,72.0,4262.0,9727444.313159836,0.0,81.0,6589.0,8938408.799652083,61.0,4984.0,7415649.816234585,63.0,7666259.820039,3616.0
7,44.0,2801.0,8607457.118023133,112.0,7851.0,8989366.300796324,105.0,5145.0,9219405.82664459,0.0,100.0,5811.0,8650905.598563146,80.0,6073.0,7963848.945642895,96.0,8874932.180482835,4214.0
8,48.0,1728.0,6438237.481708045,110.0,6959.0,9117452.617011597,90.0,2738.0,9688181.138576183,0.0,111.0,6889.0,9096869.201926451,73.0,4713.0,8743449.261607759,98.0,8978119.673922993,3796.0
9,65.0,3211.0,7157311.852664574,115.0,6383.0,9652574.533113081,112.0,5816.0,9663825.511296153,0.0,92.0,6435.0,8216063.918041296,87.0,5301.0,7622147.870671073,83.0,7896544.957936848,4489.0
10,56.0,2835.0,7605179.207535859,89.0,7293.0,9506179.046710515,87.0,4922.0,9871331.871995792,0.0,80.0,6898.0,8519303.879696485,62.0,4085.0,7497615.126643679,111.0,9555488.38688898,6022.0
11,88.0,4349.0,8741611.277509233,128.0,7195.0,9302625.269636996,127.0,7418.0,9378181.177124955,0.0,97.0,7138.0,8271675.244320278,82.0,5503.0,7779459.197899245,82.0,8017769.944156369,3974.0
12,56.0,2970.0,8130017.242165558,89.0,6286.0,7848352.660504831,82.0,3002.0,9833807.211435923,0.0,92.0,7113.0,8028993.254685142,74.0,5077.0,7363413.738906543,83.0,7381256.426730708,4358.0
