,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,110.0,2889.0,8444775.08471802,75.0,3783.0,7545751.142743033,85.0,2030.0,9973820.911395427,0.0,61.0,3659.0,5355953.390484027,58.0,3392.0,7177433.582530722,109.0,8101505.865773529,3023.0
1,71.0,3137.0,6684531.715113606,76.0,3981.0,6140357.840964183,83.0,3339.0,9783488.695773158,0.0,52.0,3338.0,4518890.123384558,52.0,3892.0,8414732.026073977,86.0,6985490.559170251,3538.0
2,107.0,3697.0,8144375.346289141,56.0,3879.0,6089432.720945876,102.0,3589.0,9875373.393146493,0.0,51.0,3282.0,4458170.98170605,69.0,3453.0,9067383.939287148,107.0,6283638.082505288,3697.0
3,88.0,3628.0,9114228.895007905,65.0,3945.0,7775272.450601503,80.0,3322.0,9756291.241122441,0.0,38.0,3684.0,4464551.729807418,40.0,3646.0,8879788.94072566,93.0,9326483.36694562,3637.0
4,90.0,3117.0,9645177.720412236,76.0,3893.0,6363400.216309374,68.0,2083.0,9948401.756703617,0.0,52.0,3354.0,4560093.841264466,50.0,3419.0,5808989.236716246,91.0,8895456.089122612,2856.0
5,74.0,2589.0,9273260.508335397,50.0,3792.0,5444646.919459244,78.0,3039.0,9559756.76851216,0.0,59.0,3948.0,5612118.095458027,53.0,3673.0,7333978.574024703,92.0,9059007.683014862,3273.0
6,69.0,3647.0,8123543.625608517,45.0,3834.0,8821243.53686765,66.0,3227.0,9146345.465410896,0.0,43.0,3245.0,5219231.485360248,51.0,3897.0,7589377.580423709,72.0,8893269.737164207,3596.0
7,74.0,2491.0,8408227.280348748,50.0,3916.0,5107916.875632519,82.0,2913.0,9892420.210010223,0.0,64.0,3918.0,4624800.246676317,55.0,3610.0,9569962.8792178,103.0,8234465.177264078,3751.0
8,91.0,2830.0,9841053.013050158,82.0,3928.0,6962293.882730974,80.0,2702.0,9761257.414312359,0.0,66.0,3102.0,5165570.957671199,55.0,3671.0,7422303.951630147,110.0,7819849.551118284,3501.0
9,101.0,3538.0,9820574.583594948,81.0,3842.0,8042171.680577876,106.0,3791.0,8800343.482933447,0.0,73.0,3415.0,5378934.306738177,56.0,3651.0,9784425.971000422,97.0,5677181.747884722,3430.0
10,89.0,3908.0,8889026.483776756,58.0,3988.0,7256976.372106677,64.0,2402.0,9982411.597079642,0.0,46.0,3632.0,5583947.473326138,58.0,3138.0,7412689.85511637,83.0,6179307.706525063,3598.0
11,83.0,3136.0,8994537.845101163,75.0,3778.0,7648382.127134483,81.0,3368.0,9571121.816866599,0.0,51.0,3694.0,4778080.310575328,57.0,3323.0,8092695.922067178,97.0,8464342.57238779,3587.0
12,83.0,3154.0,9549652.163253468,73.0,3927.0,9418603.309518296,88.0,3308.0,8930506.647476466,0.0,54.0,3332.0,5283142.1732474025,51.0,3456.0,8408479.607457215,90.0,9133492.799110165,3540.0
