,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,57.0,3390.0,8824275.21946989,88.0,9753.0,9743040.153378287,86.0,6747.0,9353933.635936897,0.0,69.0,7732.0,8557677.008864125,55.0,7081.0,8422565.184106106,57.0,8533367.50456613,5197.0
1,55.0,2644.0,7749338.768375783,99.0,6351.0,9523179.608096974,77.0,2922.0,9412079.282801392,0.0,94.0,8221.0,8939185.222188177,72.0,7105.0,8726257.68689765,74.0,9846603.2337491,6015.0
2,60.0,4593.0,6967643.170357146,93.0,8569.0,9649430.577057157,85.0,7512.0,9639807.477914285,0.0,80.0,7542.0,9118622.52496441,66.0,5576.0,7813782.73942729,90.0,8745567.46316092,7082.0
3,48.0,2694.0,8874644.814520173,81.0,6032.0,8696842.727690393,68.0,3287.0,9396880.374504685,0.0,85.0,7425.0,9458802.07835766,59.0,5274.0,8863583.59328008,68.0,8983461.698065205,3587.0
4,60.0,2955.0,7961849.226811685,96.0,6411.0,9449020.098281622,86.0,5758.0,9238446.725141725,0.0,95.0,9182.0,9477054.75688719,60.0,4016.0,7669454.435469299,75.0,8508152.312224826,4815.0
5,51.0,3067.0,6839091.971825963,70.0,5322.0,9665531.264580917,72.0,4997.0,9538473.57754391,0.0,81.0,7253.0,9102030.680437274,63.0,5656.0,8952378.394223928,74.0,8265209.928911015,5288.0
6,43.0,3881.0,7514089.9160123905,76.0,8020.0,8967166.290638577,81.0,6294.0,9475179.377568811,0.0,103.0,10207.0,9380476.769062053,49.0,5302.0,8196771.630979157,73.0,8732959.930731032,6433.0
7,52.0,2182.0,8885451.14013642,91.0,6586.0,8977395.005001815,78.0,4491.0,9760557.556359772,0.0,89.0,7445.0,9243034.902291125,63.0,5046.0,8259589.060908521,66.0,7789218.90925066,4128.0
8,82.0,5520.0,7407637.635050474,91.0,8044.0,9340816.689147858,84.0,4778.0,9493386.40018494,0.0,96.0,9172.0,8771531.728000347,67.0,6010.0,7859540.5865676515,82.0,8184286.253866733,7930.0
9,55.0,3296.0,8001993.184060103,74.0,5871.0,9478916.548968693,67.0,3387.0,9500203.943291385,0.0,83.0,7518.0,9485362.215004181,68.0,4401.0,8243802.439153522,73.0,8687023.52791093,5675.0
10,57.0,2867.0,9546642.670279488,87.0,5889.0,9302338.496883491,105.0,6059.0,9775249.578625258,0.0,66.0,5988.0,9764952.743508134,56.0,3530.0,8136171.302919972,76.0,9180864.174506446,4472.0
11,46.0,3506.0,8169911.218875699,104.0,9443.0,9100266.075180005,95.0,7412.0,9660531.595652912,0.0,103.0,8837.0,8516123.439499795,57.0,4366.0,8091054.128712529,63.0,6119299.2038220065,3615.0
12,57.0,2603.0,8204863.310557401,107.0,8551.0,9112754.510223852,88.0,4457.0,9471543.6005022,0.0,92.0,8998.0,9086690.374314953,68.0,4771.0,8395886.873345755,86.0,9051356.231666397,5212.0
