,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,37.0,895.0,3497358.3428792646,50.0,3340.0,4480414.655541437,73.0,2241.0,4990590.419056766,0.0,64.0,3726.0,4474373.397410307,51.0,3881.0,3014241.4446278904,40.0,3815091.036627995,995.0
1,20.0,485.0,2558280.1352005876,68.0,3849.0,4686636.117313292,68.0,1380.0,4772174.294621178,0.0,63.0,3342.0,4488569.496315756,51.0,3424.0,3919862.539528725,38.0,4203510.982701726,937.0
2,20.0,670.0,3136800.2886307314,65.0,3890.0,3524348.079614143,67.0,1872.0,4829061.1465606615,0.0,64.0,3673.0,4408585.550707325,50.0,3175.0,4558557.952421442,29.0,4632514.75804521,688.0
3,20.0,343.0,5064012.311222542,60.0,3899.0,4830452.998279595,48.0,1512.0,4829391.376510587,0.0,53.0,3627.0,4009299.1298664506,43.0,2833.0,4803714.2177874325,30.0,5170853.404792288,504.0
4,20.0,355.0,4667758.147946972,67.0,3173.0,4656148.02361195,72.0,2563.0,4977443.367046143,0.0,74.0,3690.0,3315343.265357537,50.0,3081.0,4096253.0412718244,20.0,2413059.4070435404,527.0
5,30.0,608.0,3935939.065402977,63.0,3808.0,4598430.564988913,65.0,1781.0,4993929.002052618,0.0,53.0,3405.0,3909425.856393173,50.0,3137.0,2314408.798320419,30.0,3488101.7099185665,576.0
6,49.0,1101.0,3954856.2832717546,61.0,3731.0,4757376.270549467,61.0,1092.0,4853125.204561778,0.0,74.0,3494.0,3409082.0414446415,60.0,3769.0,4866893.55024416,49.0,3343882.792151777,1252.0
7,40.0,824.0,3539007.3530168626,80.0,3478.0,4306781.375709883,58.0,1580.0,4925964.306636646,0.0,65.0,3819.0,3084319.4275821717,55.0,2529.0,3963562.415846885,30.0,4090188.439244061,609.0
8,30.0,778.0,2993562.924123198,64.0,3192.0,4754733.1278956905,61.0,1687.0,4907678.658418136,0.0,68.0,2988.0,4294059.96724096,51.0,2460.0,4441462.805992408,40.0,4265255.427998238,1140.0
9,20.0,269.0,4345737.729414202,67.0,3654.0,4909507.215578826,58.0,1804.0,4930194.670153021,0.0,74.0,3722.0,4877541.611070544,51.0,3648.0,4606099.050157439,28.0,3253415.6561467517,795.0
10,49.0,1217.0,3291205.731668449,67.0,3915.0,3659189.0782143464,79.0,2441.0,4903131.049611144,0.0,58.0,3763.0,4269508.953114658,54.0,3425.0,4411132.253522576,67.0,3932934.4600495417,1547.0
11,49.0,903.0,3073518.063651519,79.0,2504.0,4826836.911615526,74.0,2274.0,4923987.064154368,0.0,64.0,3066.0,3411394.637864746,60.0,3709.0,4831869.777839413,58.0,4009374.2042620135,1104.0
12,30.0,678.0,4328436.1957372865,64.0,3770.0,4387384.99339811,48.0,1031.0,4945956.519777932,0.0,56.0,3092.0,4807189.263328245,45.0,2961.0,2565622.323087155,39.0,3382952.820394576,908.0
