,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy,rseo_clust_profit,rseo_clust_storage,rseo_clust_energy
0,32.0,3188.0,8024702.576353118,40.0,5169.0,9050318.09015179,36.0,3696.0,8406511.462612068,0.0,36.0,4038.0,8904842.091331294,35.0,3804.0,8710633.065517303,38.0,7536427.347402807,4438.0
1,51.0,3750.0,6569028.369612068,58.0,5348.0,8170532.402088398,58.0,5348.0,7101300.083322199,0.0,58.0,5348.0,8045407.863422452,51.0,3901.0,6971304.723849643,58.0,8099775.726259366,5348.0
2,51.0,4832.0,7242482.080107186,59.0,5624.0,9365861.847037112,54.0,4078.0,8213941.404517129,0.0,57.0,4964.0,8168762.87781382,42.0,4296.0,8423286.444530895,59.0,8462837.554199139,5624.0
3,46.0,3149.0,7411215.665403099,51.0,4365.0,6442647.4143148335,51.0,4365.0,8636666.540480735,0.0,55.0,4486.0,9153422.193838997,40.0,2324.0,5956524.582848924,55.0,9932171.261587074,4243.0
4,45.0,4228.0,8754198.263198607,54.0,4871.0,8473825.108349744,48.0,4153.0,7483742.412065252,0.0,55.0,4962.0,8346595.853625186,38.0,3548.0,6771735.774953876,55.0,7692396.0184317,4962.0
5,35.0,4322.0,7694872.326470071,42.0,6064.0,6322576.680833112,43.0,6116.0,6862556.942686995,0.0,40.0,5684.0,7652238.460190361,40.0,5684.0,7903633.3452226035,43.0,9283939.381072428,6116.0
6,48.0,2770.0,8513467.161868103,56.0,4884.0,8384005.974824793,56.0,3375.0,9225472.192353498,0.0,44.0,1755.0,8485746.77770259,47.0,3050.0,8697641.745516654,55.0,9371470.645248909,4366.0
7,44.0,3975.0,9300602.672595203,56.0,5026.0,8331875.561197589,55.0,4726.0,8342410.8950207485,0.0,52.0,4308.0,9088577.53965941,45.0,3687.0,7550261.979461996,39.0,7764202.830012886,4156.0
8,34.0,2409.0,7544763.617217777,51.0,4651.0,9354701.049561031,46.0,3470.0,9552788.058875367,0.0,45.0,3601.0,8488541.82706673,37.0,3065.0,8842588.116357148,43.0,7661046.05304743,3342.0
9,25.0,1022.0,5533436.062523141,46.0,5100.0,6508432.193672113,46.0,5100.0,8481066.276412254,0.0,32.0,3805.0,8136622.49382913,35.0,2093.0,7311863.787193905,38.0,7088140.348083507,3406.0
10,31.0,3444.0,7163586.608553309,48.0,6137.0,8700738.025520634,46.0,5942.0,8599190.405126613,0.0,46.0,5942.0,8047326.617644766,48.0,6137.0,8811337.602030464,42.0,7503157.145099191,4441.0
11,46.0,3513.0,7944992.847503599,54.0,5187.0,7531850.961694353,54.0,5187.0,7855313.833350036,0.0,54.0,5187.0,7938539.0018389635,41.0,4116.0,7764002.018871354,54.0,7950413.153068364,5187.0
12,59.0,3866.0,8973477.825437566,58.0,4393.0,9021780.32209841,65.0,4771.0,9270455.321713082,0.0,54.0,3724.0,8485714.824282225,51.0,3290.0,7770750.281550191,54.0,8849341.655601716,4102.0
