,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
1,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
2,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
3,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
4,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
5,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
6,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
7,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
8,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
9,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
10,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
11,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
12,10.0,793.0,1089022.1223709856,19.0,1574.0,1941629.0586223202,19.0,1491.0,2008848.8624001339,19.0,20.0,2366.0,2637354.19910508,20.0,1806.0,3321566.209838403
