,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,253.0,7687.0,9617942.752946548,121.0,7744.0,9957552.020229599,85.0,1611.0,9962107.077355875,0.0
1,139.0,4023.0,9515055.327233953,93.0,5387.0,9848907.412661085,94.0,2428.0,9989240.37307055,0.0
2,198.0,6539.0,9961627.537974067,108.0,7850.0,9985112.444206413,87.0,2522.0,9983349.056752611,0.0
3,154.0,4895.0,9494418.374527464,117.0,7953.0,9945872.900505124,90.0,2059.0,9993575.826460311,0.0
4,214.0,7438.0,9559878.797132183,99.0,7984.0,8756713.086068174,85.0,1933.0,9971644.388811316,0.0
5,234.0,7575.0,9680678.585453337,114.0,7243.0,9980551.453568352,95.0,2221.0,9955484.88705675,0.0
6,173.0,5575.0,9677805.588344896,96.0,6420.0,9929156.791883219,83.0,2048.0,9994425.79520866,0.0
7,197.0,5846.0,9770389.152762018,110.0,6100.0,9982474.126615696,89.0,2377.0,9992658.09552527,0.0
8,207.0,6930.0,9793196.88571244,122.0,6926.0,9984654.373059828,77.0,1619.0,9926772.529264176,0.0
9,259.0,7632.0,9430905.140530724,121.0,7487.0,9963073.052030053,117.0,2187.0,9986612.332202667,0.0
10,200.0,6325.0,9060207.609530702,123.0,7888.0,9513240.610380774,81.0,2064.0,9966636.051394567,0.0
11,199.0,5962.0,9822734.622992769,106.0,5999.0,9984291.850839294,94.0,2625.0,9940082.106006254,0.0
12,155.0,5295.0,9128268.946756655,108.0,6897.0,9971199.227859082,76.0,2319.0,9976321.715548508,0.0
