,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,68.0,3194.0,5321346.051732895,67.0,3936.0,7912684.793393119,73.0,3817.0,8779731.068102008,73.0
1,73.0,3889.0,5154932.0165098645,59.0,3922.0,8634194.927648526,73.0,3889.0,7834414.442816496,73.0
2,79.0,3750.0,7872161.496725489,68.0,3720.0,9591206.7896774,73.0,3323.0,9879987.864745561,80.0
3,76.0,3605.0,8124055.714451404,62.0,3933.0,4473150.21591752,79.0,3867.0,9273101.65689769,79.0
4,85.0,3361.0,6831732.418389425,63.0,3742.0,9794239.96161997,76.0,2699.0,9931892.803925302,90.0
5,62.0,3160.0,6572611.89831472,59.0,3969.0,8183548.984904761,62.0,3286.0,9655350.425088607,69.0
6,72.0,3657.0,6770893.427923406,63.0,3952.0,8747626.882344468,68.0,3529.0,9487891.011841213,73.0
7,56.0,3346.0,5656855.886603601,56.0,3878.0,6640365.464344194,58.0,3653.0,9909829.832824724,61.0
8,55.0,3853.0,7287020.205857676,43.0,3850.0,8414022.323014524,45.0,3168.0,9549195.225835005,55.0
9,87.0,3824.0,6521313.614112704,85.0,3964.0,8554869.295537757,87.0,3824.0,9873523.944374777,88.0
10,70.0,3857.0,6826903.031579998,57.0,3946.0,8932405.215773987,67.0,3591.0,9353473.224269511,70.0
11,62.0,3494.0,6849867.68374472,55.0,3897.0,7717523.413793461,62.0,3494.0,9846233.296985837,67.0
12,81.0,3852.0,7116785.519356214,61.0,3108.0,9505895.109607719,65.0,3859.0,9999047.650233211,81.0
