,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,29.0,2554.0,4540580.257392614,24.0,2212.0,4607744.155853868,25.0,2403.0,4905784.660898433,37.0
1,51.0,3750.0,4466556.985548005,51.0,3750.0,4941332.996350076,45.0,2820.0,4619779.839222729,57.0
2,52.0,3418.0,4926155.940468976,35.0,3099.0,4895861.629573067,23.0,1267.0,4963548.852869124,57.0
3,52.0,3537.0,4964551.034405791,52.0,3537.0,4976454.600780043,46.0,3149.0,4757924.661655303,54.0
4,44.0,4366.0,4740285.939141312,39.0,3915.0,4889297.664094426,36.0,3022.0,4607519.022981782,51.0
5,29.0,3243.0,4560296.196683819,31.0,4186.0,4470727.522058482,29.0,3595.0,4411425.88629122,36.0
6,25.0,1003.0,4356790.609756721,32.0,1484.0,4875661.225563428,24.0,498.0,4759540.760076271,52.0
7,36.0,2482.0,3099956.0240930202,39.0,3488.0,4595403.536778444,44.0,3387.0,4353982.49154612,49.0
8,24.0,1589.0,3102444.9559476255,34.0,2409.0,4991565.344130364,30.0,1872.0,4948747.965338886,45.0
9,35.0,2093.0,4951759.410269245,35.0,2093.0,4800361.185671955,30.0,1738.0,4881184.625221106,41.0
10,28.0,3024.0,3926052.5568866334,30.0,3564.0,4828783.291506205,37.0,4419.0,4994024.0555995405,46.0
11,35.0,2869.0,4229155.778981202,34.0,3774.0,4807574.382944101,31.0,1911.0,4975737.271901141,53.0
12,35.0,2195.0,4666441.655414605,29.0,2862.0,4823780.575627819,35.0,1696.0,4820170.76990488,57.0
