,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,39.0,731.0,4141214.3284899145,43.0,1887.0,4614677.0176126985,52.0,992.0,4964491.180401658,0.0
1,62.0,1453.0,4799367.785981867,34.0,1955.0,3240255.420392545,35.0,648.0,4808296.2807917185,0.0
2,82.0,1846.0,4941938.270041285,27.0,2000.0,2744212.9508828647,49.0,906.0,4899686.332278721,0.0
3,55.0,1180.0,4507911.741755464,37.0,1904.0,4550541.771973975,48.0,1093.0,4983165.219451679,0.0
4,30.0,549.0,3272470.7044121935,41.0,1904.0,4556757.784577772,48.0,1117.0,4946377.843872145,0.0
5,65.0,1675.0,4900557.996249988,32.0,1965.0,3311210.4021822293,34.0,812.0,4839551.761590366,0.0
6,57.0,1185.0,3704963.4274075814,42.0,1972.0,4314233.9645630075,49.0,1420.0,4936497.345685965,0.0
7,71.0,1649.0,4865810.029206583,38.0,1862.0,3289009.3495072164,65.0,1833.0,4960557.138593406,0.0
8,70.0,1555.0,4580995.057905506,45.0,1921.0,4027250.849868314,41.0,776.0,4991754.604852942,0.0
9,63.0,1481.0,4831510.474692127,38.0,1954.0,3323886.705533428,53.0,1713.0,4914418.698265613,0.0
10,66.0,1831.0,4652533.67325498,23.0,1870.0,4153558.6078527765,30.0,615.0,4912717.3121956065,0.0
11,66.0,1660.0,4604656.654161002,26.0,1927.0,2210685.5111020315,64.0,1785.0,4818112.759766524,0.0
12,64.0,1614.0,4366078.116817392,40.0,1980.0,4476247.9532805225,42.0,907.0,4944865.487621178,0.0
