,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,92.0,1802.0,6243342.300093006,50.0,1994.0,5814937.38810373,74.0,1425.0,9978098.89240143,0.0
1,75.0,1769.0,5784168.929408182,34.0,1955.0,3240255.420392545,77.0,1909.0,9552763.082030823,0.0
2,89.0,1984.0,5949153.42946224,27.0,2000.0,2744212.9508828647,84.0,1866.0,9860800.652539754,0.0
3,99.0,1977.0,6595455.77870682,37.0,1904.0,4550541.771973975,81.0,1809.0,9987534.099818178,0.0
4,87.0,1824.0,7459003.907634846,41.0,1904.0,4556757.784577772,86.0,1875.0,9874616.920242164,0.0
5,69.0,1789.0,6308911.814327165,32.0,1965.0,3311210.4021822293,63.0,1649.0,9656274.21957365,0.0
6,80.0,1799.0,6533072.504143957,42.0,1972.0,4314233.9645630075,80.0,1907.0,9423699.3197033,0.0
7,84.0,1975.0,6744526.032832315,40.0,1964.0,5063554.189080849,76.0,1907.0,9997737.328123746,0.0
8,79.0,1800.0,5326544.043425992,45.0,1921.0,4027250.849868314,83.0,2000.0,9604264.637517722,0.0
9,75.0,1743.0,5294115.626458225,38.0,1954.0,3323886.705533428,81.0,1978.0,9883110.7010995,0.0
10,72.0,1978.0,6024076.178567094,30.0,1974.0,5645939.82925506,64.0,1835.0,9816545.561126214,0.0
11,71.0,1784.0,5184687.567499147,26.0,1927.0,2210685.5111020315,74.0,1898.0,8846822.689261803,0.0
12,80.0,1990.0,6340817.064484621,40.0,1980.0,4476247.9532805225,72.0,1737.0,9902466.576983629,0.0
