,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,50.0,965.0,4367780.900814567,74.0,6873.0,4919001.208671346,50.0,1041.0,4940885.420824675,0.0
1,30.0,961.0,3845626.612156154,64.0,4736.0,4921470.03662156,46.0,1413.0,4862520.234864981,0.0
2,75.0,2085.0,4848597.371876846,87.0,6018.0,4937486.479940478,63.0,1982.0,4988335.567656303,0.0
3,60.0,1930.0,4358067.250598515,65.0,2755.0,4936868.890477429,43.0,716.0,4959260.645675083,0.0
4,97.0,2827.0,4274241.306734319,79.0,6685.0,4938379.757056012,71.0,2496.0,4918367.955140778,0.0
5,80.0,2448.0,4866966.543218623,55.0,3917.0,4935451.284310132,72.0,2285.0,4999438.253546931,0.0
6,30.0,1002.0,3856480.479795951,51.0,3436.0,4974266.911590055,38.0,696.0,4993482.797692681,0.0
7,30.0,743.0,3854979.280450801,69.0,3980.0,4985243.285188562,54.0,1565.0,4999143.730581965,0.0
8,50.0,1919.0,4545458.743098178,72.0,5037.0,4954979.31730612,32.0,598.0,4930308.97938837,0.0
9,77.0,1807.0,4875725.34423201,52.0,3811.0,4993832.578926491,84.0,2057.0,4980496.781266624,0.0
10,60.0,1939.0,3409428.2545530647,80.0,5503.0,4953737.317621668,52.0,1224.0,4945101.794967285,0.0
11,53.0,1252.0,4051787.2622059407,60.0,3854.0,4966387.065135231,62.0,1238.0,4940108.798507506,0.0
12,30.0,1204.0,3639085.1300654984,71.0,4150.0,4913802.904497406,45.0,1488.0,4984298.733473153,0.0
