,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,34.0,1128.0,3957787.1541611217,22.0,1998.0,4437046.062892937,41.0,1919.0,4519794.242937684,43.0,24.0,1910.0,3555795.50429884,16.0,1396.0,4695971.582015005
1,52.0,1905.0,3735206.456524373,35.0,1826.0,4665167.272723696,47.0,1808.0,4931032.137364122,52.0,32.0,1793.0,2656775.095383619,30.0,1948.0,3690590.275064561
2,30.0,1670.0,4181815.165940363,17.0,1923.0,2290462.7387240063,26.0,1685.0,4190508.2389590833,32.0,19.0,1829.0,3037490.787904532,22.0,1019.0,3334301.9910446354
3,24.0,1394.0,3826161.4832601896,19.0,1882.0,4348026.005089401,24.0,1394.0,4825098.245894411,29.0,18.0,1513.0,1906664.8223396407,19.0,1719.0,3401696.136184026
4,31.0,1480.0,4782409.191145661,14.0,1888.0,2313635.1776062166,32.0,1839.0,4725960.345466775,37.0,23.0,1769.0,3134433.113709525,25.0,1478.0,4664630.59407578
5,20.0,1127.0,3244145.404220576,25.0,1872.0,4797071.052395318,31.0,1767.0,4519566.210263604,32.0,24.0,1825.0,2270647.4085729537,24.0,1998.0,3845116.353129125
6,41.0,1978.0,4556657.696116657,34.0,1865.0,4088475.968559938,27.0,930.0,4728722.890621643,41.0,24.0,1788.0,2540643.486814596,22.0,1523.0,4480397.243388746
7,25.0,1414.0,4393925.2271342445,20.0,1975.0,2454937.1778500536,22.0,960.0,4825654.477134642,32.0,18.0,1964.0,4208646.81250687,15.0,1268.0,4209863.869085172
8,29.0,1545.0,3343903.4024698767,28.0,1935.0,2248720.2082351977,29.0,1845.0,4908285.396090438,34.0,22.0,1765.0,3561668.869021064,27.0,1693.0,4552291.631497328
9,45.0,1743.0,4609327.56118714,34.0,1998.0,3463310.1043722713,40.0,1957.0,4875687.942241874,47.0,38.0,1269.0,4269283.575731972,28.0,1915.0,3697276.9464781205
10,38.0,1568.0,4243091.940747527,32.0,1292.0,4640955.470871549,31.0,1369.0,4690569.555973557,40.0,25.0,1915.0,3118698.949988145,17.0,1738.0,3748116.479368435
11,33.0,1470.0,4828920.468590258,33.0,1963.0,4258789.036640313,31.0,1385.0,4541497.827028142,40.0,19.0,1767.0,2328569.5449264045,18.0,1678.0,4898241.137215222
12,34.0,1919.0,4819931.827647794,27.0,1783.0,2186190.086608102,30.0,1754.0,4067218.039701946,34.0,25.0,1872.0,2257989.2165416116,25.0,1872.0,2257989.2165416116
