,Unnamed: 0,x,n,rseo,rseo_std,rseo_conf,mre,mre_std,mre_conf,mrs,mrs_std,mrs_conf,opt,opt_std,opt_conf
0,0,0.0,10.0,39.53846153846154,9.323942161762774,5.413358203771674,36.769230769230774,7.540488999990277,4.377908751509262,33.846153846153854,6.491611944734963,3.7689445265809542,47.53846153846154,7.9016389082200815,4.587587638892835
1,1,1.0,15.0,44.69230769230769,9.775689365160014,5.6756366893215064,40.769230769230774,9.636336148089397,5.594730044067434,35.53846153846154,7.16025354084831,4.157149044252358,64.76923076923077,11.973260807272775,6.951517769249438
2,2,2.0,20.0,45.384615384615394,10.356467074075516,6.012828589547862,46.69230769230769,11.528115019266414,6.693071978663039,40.0,10.785793124908958,6.262089648770558,77.61538461538461,10.820801430104131,6.282415010386977
3,3,3.0,25.0,47.153846153846146,14.064412263144606,8.165612804651573,48.230769230769226,10.623510453657694,6.167870463955075,36.0,9.635005621863087,5.593957558037649,87.07692307692308,8.911243258393098,5.173750647709633
4,4,4.0,50.0,55.0,11.711817393840576,6.799727161546044,55.846153846153854,9.982035145250975,5.795438335673406,41.153846153846146,14.369215670117802,8.34257765439534,,,
5,5,5.0,100.0,48.69230769230769,13.224879428464966,7.67819108118933,62.46153846153846,7.838105474915315,4.550700963018269,41.615384615384606,8.332051183416779,4.837479345696339,,,
6,6,6.0,150.0,77.07692307692308,20.33659074370439,11.80715714761211,67.23076923076923,14.94519904046026,8.676986024694575,49.53846153846154,13.926086939118882,8.085302940581968,,,
7,7,7.0,200.0,74.15384615384616,27.64912944333616,16.052720952414347,74.92307692307692,11.258045556116288,6.536273199931067,41.153846153846146,10.784604411275003,6.261399497266972,,,
