,Unnamed: 0,x,n,rseo,rseo_std,rseo_conf,mre,mre_std,mre_conf,mrs,mrs_std,mrs_conf,opt,opt_std,opt_conf
0,0,0.0,10.0,15.230769230769232,5.068758002934022,2.942854239341252,21.153846153846157,4.394051923645453,2.5511287624898515,18.923076923076927,4.251696493980147,2.4684790720841763,27.0,4.600724580614087,2.6711201892583043
1,1,1.0,15.0,14.230769230769232,5.818846480100189,3.3783457450773193,24.615384615384613,7.422246532536062,4.309258729863647,18.615384615384613,6.982579054791306,4.053993574172119,34.230769230769226,5.182564457773234,3.0089287703987826
2,2,2.0,20.0,12.923076923076925,5.544690229723367,3.219174231425193,27.30769230769231,9.784210199641523,5.680583773767463,21.30769230769231,8.03517906235465,4.665119296251445,41.0,10.700467279516348,6.212550585020884
3,3,3.0,25.0,17.46153846153846,8.685384127135508,5.042619806282484,30.461538461538463,4.5755761862193305,2.6565193621889516,25.69230769230769,8.692761503923974,5.046903014229004,49.0,9.38083151964686,5.446387416830508
4,4,4.0,50.0,16.153846153846153,7.679476477883044,4.458603053406359,32.30769230769231,7.250110520819843,4.209318825151457,29.538461538461537,10.532611140448386,6.115095518085417,,,
5,5,5.0,100.0,22.153846153846153,9.397217264046429,5.455900764546682,32.69230769230769,11.870022573585775,6.8915790084145305,32.846153846153854,11.268289975606725,6.542220975167044,,,
6,6,6.0,150.0,24.615384615384613,13.524905800894766,7.852382447498026,43.69230769230769,15.531605494306413,9.017445900206347,32.384615384615394,8.539500976232564,4.957921967317853,,,
7,7,7.0,200.0,28.69230769230769,11.055802514099517,6.4188535493516135,53.153846153846146,12.824755708174678,7.445884511052093,38.384615384615394,11.842989920472373,6.875884205512247,,,
