,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,40.0,1983.0,2892425.7970784856,74.0,4969.0,4962113.788350296,21.0,603.0,4977986.7848430965,0.0
1,40.0,1533.0,3391768.9371897364,58.0,3017.0,4911098.678983446,58.0,2509.0,4828058.2088093795,0.0
2,40.0,2060.0,4723945.954526948,35.0,2783.0,4988059.943311399,30.0,943.0,4999960.89900889,0.0
3,59.0,2898.0,4946089.717750852,45.0,2307.0,4987094.87669273,52.0,1258.0,4956529.978532601,0.0
4,58.0,3093.0,4681644.783852312,61.0,4152.0,4844369.926406797,66.0,2122.0,4691371.240055747,0.0
5,75.0,3203.0,4641175.476892453,52.0,1864.0,4984691.43691603,59.0,1866.0,4938608.386167328,0.0
6,40.0,2890.0,4234772.096933072,50.0,4720.0,4957243.104415576,46.0,2792.0,4878782.628427935,0.0
7,50.0,2432.0,4947627.194978101,70.0,2973.0,4935872.082851228,40.0,1898.0,4833414.167280856,0.0
8,30.0,1686.0,4793200.390269672,52.0,2200.0,4982793.721252221,46.0,1487.0,4967863.992974813,0.0
9,40.0,1746.0,3238251.259679202,51.0,2487.0,4979327.643564316,45.0,1462.0,4956209.776077098,0.0
10,55.0,1744.0,4633984.6770221805,69.0,3148.0,4974725.952460633,43.0,742.0,4874382.020644399,0.0
11,40.0,2371.0,3559265.112191798,61.0,4134.0,4800507.203507891,23.0,505.0,4974693.194672376,0.0
12,49.0,2350.0,4860148.503831619,60.0,5313.0,4895807.293768145,38.0,1434.0,4935968.026910664,0.0
