,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,179.0,8648.0,9963256.398590442,122.0,6830.0,9977908.174161805,67.0,1697.0,9980916.39349972,0.0
1,233.0,12616.0,9853364.491284108,113.0,7404.0,9984400.793331435,107.0,2847.0,9962597.44400315,0.0
2,151.0,8656.0,9996117.29552126,131.0,7839.0,9981887.3924198,107.0,2745.0,9957857.287572486,0.0
3,210.0,11676.0,9922787.401355173,115.0,7255.0,9976161.118680472,91.0,2200.0,9997334.308330212,0.0
4,191.0,11333.0,9843613.77425647,114.0,6532.0,9988963.661709951,59.0,987.0,9987427.636236658,0.0
5,211.0,12030.0,9846640.360148376,129.0,7955.0,9952432.803499416,104.0,2975.0,9994109.891906451,0.0
6,160.0,9311.0,9924644.244625285,135.0,7238.0,9975810.236061698,91.0,2942.0,9868802.728264602,0.0
7,130.0,7579.0,9987539.4968087,132.0,7312.0,9965527.433873024,83.0,1859.0,9990978.070081644,0.0
8,190.0,11443.0,9921120.212165773,98.0,5696.0,9947315.635285618,74.0,1573.0,9943577.707361111,0.0
9,224.0,13759.0,9853106.837176051,146.0,9891.0,9979148.586684246,74.0,1894.0,9996164.123287259,0.0
10,232.0,13031.0,8803965.809104327,122.0,7630.0,9939128.35476803,89.0,2915.0,9964315.993256027,0.0
11,171.0,8018.0,9657530.097759897,135.0,7827.0,9991866.144465923,100.0,2562.0,9935565.910625208,0.0
12,160.0,7243.0,9562660.77457642,100.0,6879.0,9991247.306181004,71.0,1257.0,9957881.143471709,0.0
