,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,29.0,3293.0,3750482.729345349,32.0,3867.0,4579389.505858206,33.0,3337.0,4867687.331482459,37.0
1,42.0,2902.0,4333355.015066996,39.0,2277.0,4603121.012412993,39.0,2277.0,4482151.367155651,50.0
2,28.0,1795.0,4360023.642191325,42.0,4081.0,4813429.216952164,35.0,2429.0,4774839.154080619,49.0
3,29.0,2311.0,3521708.399436983,45.0,3144.0,4969974.838574018,38.0,1974.0,4815612.466799702,55.0
4,53.0,4472.0,4258830.484620062,52.0,4507.0,4967094.042611944,37.0,2778.0,4225409.024025223,61.0
5,48.0,3060.0,4810472.322871593,41.0,2839.0,4934428.167924888,38.0,1627.0,4096197.544489291,52.0
6,56.0,5660.0,4799285.58574131,42.0,3557.0,4780444.859266285,39.0,3331.0,4633083.580684272,57.0
7,46.0,3607.0,4824771.995446066,36.0,2157.0,4645510.7674508365,38.0,2529.0,4710415.530706993,48.0
8,38.0,2189.0,4704245.115001293,35.0,2043.0,4973467.560702123,29.0,1496.0,4922216.8258847,41.0
9,39.0,3399.0,4991670.44545209,29.0,2533.0,4921636.195207004,17.0,487.0,4161288.914522565,50.0
10,39.0,3813.0,4112131.5364508056,28.0,2929.0,4732176.481059917,39.0,3813.0,4428555.121457451,43.0
11,29.0,2342.0,4943450.7942927545,27.0,2936.0,4598741.178687498,27.0,1880.0,4920289.570366828,35.0
12,38.0,4273.0,4942083.297751233,30.0,3218.0,4740548.49953096,31.0,3455.0,4673469.318659165,40.0
