,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,10.0,389.0,2277299.09277734,33.0,1615.0,2388988.4135494633,17.0,506.0,2446307.138005585,38.0
1,18.0,664.0,1849309.6505230763,38.0,1117.0,2490794.047768995,25.0,559.0,2450543.248521957,39.0
2,10.0,134.0,2305318.391303411,22.0,1047.0,2448425.415249054,16.0,235.0,2431699.684773682,24.0
3,18.0,870.0,2331644.618330352,23.0,834.0,2404249.912666336,17.0,344.0,2265272.688054774,41.0
4,9.0,540.0,552201.7001708173,31.0,1880.0,2433123.680286005,21.0,582.0,2238830.172905498,40.0
5,20.0,1141.0,1698604.2634019854,31.0,1178.0,2109692.89324286,17.0,488.0,2195174.4167179954,37.0
6,20.0,1027.0,2076637.9736950914,29.0,3055.0,2356758.65193279,16.0,260.0,2495160.870928606,37.0
7,10.0,256.0,822091.8099486002,28.0,1059.0,2445483.1478809556,26.0,525.0,2309920.31464794,39.0
8,10.0,730.0,1988726.7121789358,30.0,1105.0,2462783.765671594,24.0,412.0,2434865.3030411997,42.0
9,10.0,776.0,2343531.505361899,25.0,1660.0,2401068.772748533,15.0,272.0,2079950.8998517003,30.0
10,20.0,1022.0,2127182.4595459662,19.0,833.0,2476373.080741001,19.0,1080.0,2415524.0430772156,41.0
11,19.0,846.0,2470450.7618738827,26.0,2333.0,2337645.419096228,18.0,1415.0,2499351.371138637,28.0
12,20.0,1476.0,1345420.3918039738,22.0,1626.0,2341423.4124132865,13.0,493.0,2461118.2046883116,42.0
