,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,20.0,910.0,2392214.189034497,50.0,2556.0,2443128.7073443825,48.0,1065.0,2472800.2998448974,0.0
1,13.0,526.0,2404730.4717198038,43.0,2531.0,2499291.7844957593,19.0,598.0,2478953.210200329,0.0
2,28.0,1163.0,1701701.634138683,35.0,2843.0,2447442.3852773877,21.0,1138.0,2495395.0143888625,0.0
3,40.0,2214.0,1694122.1945663807,61.0,4118.0,2458149.3682084098,41.0,1689.0,2435026.656846054,0.0
4,23.0,1358.0,2330707.123702629,73.0,5282.0,2493844.3036571117,29.0,1270.0,2494726.7927921973,0.0
5,32.0,1665.0,2182925.405194916,52.0,3040.0,2369758.69871993,38.0,718.0,2483556.0608537006,0.0
6,28.0,736.0,1935418.7272920331,40.0,2082.0,2497715.3522373755,50.0,1088.0,2499551.354320591,0.0
7,30.0,1209.0,2260566.7251485446,47.0,3782.0,2463041.765907754,39.0,951.0,2497361.7663840754,0.0
8,20.0,750.0,1974631.5191590006,41.0,1826.0,2449400.9060971895,31.0,1177.0,2405104.185851912,0.0
9,50.0,2099.0,2455720.2071066676,58.0,3388.0,2473854.2412937963,37.0,648.0,2462168.444463932,0.0
10,36.0,1941.0,2429318.9557070327,44.0,2526.0,2466387.261378686,46.0,782.0,2427720.1339372387,0.0
11,16.0,1076.0,2659839.4755779966,45.0,2978.0,2483315.8237305977,17.0,353.0,2398378.4517931715,0.0
12,17.0,814.0,2710038.3021433,40.0,3708.0,2391614.675191007,31.0,876.0,2422644.3596993475,0.0
