,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,47.0,2495.0,2948155.8073595134,45.0,2634.0,4372792.771772644,44.0,2116.0,4797417.524892821,52.0
1,19.0,1321.0,4691877.256632345,29.0,2308.0,4856352.3477768265,28.0,1644.0,4809729.81048325,34.0
2,36.0,1949.0,4010264.710789744,47.0,2392.0,4948076.801720743,25.0,691.0,4868045.396605915,57.0
3,42.0,4235.0,4734480.062171159,26.0,2260.0,4453204.248107443,30.0,2170.0,4425796.726237501,42.0
4,39.0,779.0,4241862.654001931,49.0,1770.0,4989088.536981999,49.0,1949.0,4997277.050942993,58.0
5,41.0,2421.0,3372205.7682798244,46.0,3165.0,4206738.575006059,29.0,1290.0,4801996.126184818,50.0
6,25.0,893.0,4025731.9200324877,32.0,1280.0,4964799.246818308,30.0,2262.0,4775147.778557244,39.0
7,46.0,2383.0,4957742.177498375,38.0,2245.0,4828949.42560129,38.0,2031.0,4543999.542339423,50.0
8,33.0,2649.0,4536116.280037567,40.0,3753.0,4812585.614946905,29.0,1963.0,4789226.148518956,43.0
9,22.0,1158.0,4929220.704825382,24.0,1672.0,4806756.7881956715,22.0,1143.0,4991927.392702452,30.0
10,19.0,832.0,3830856.788634399,20.0,1307.0,4860249.3560376335,19.0,1091.0,4960374.024780258,31.0
11,51.0,2128.0,4952947.856846851,46.0,1882.0,4394770.93564728,48.0,1753.0,4950231.215203542,55.0
12,24.0,2437.0,4753713.003808317,18.0,1819.0,4962162.390084465,20.0,1301.0,4952636.953446432,27.0
