,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,30.0,1037.0,2067522.779049473,42.0,3446.0,2478305.3922277195,35.0,559.0,2491187.1080417037,0.0
1,26.0,883.0,2473062.2296011616,46.0,1644.0,2309451.405428089,39.0,617.0,2430184.612686956,0.0
2,20.0,1106.0,2274985.032752779,46.0,3442.0,2497748.6135524125,40.0,1632.0,2446005.012869126,0.0
3,43.0,1515.0,2383871.289658465,58.0,1201.0,2499282.8970655603,37.0,443.0,2478452.849663318,0.0
4,40.0,1242.0,2195162.0170963453,72.0,3008.0,2470879.4352510134,32.0,523.0,2485616.2621378805,0.0
5,34.0,1910.0,2022426.1807931962,48.0,1380.0,2254682.536273134,45.0,1099.0,2492908.3385346252,0.0
6,15.0,364.0,1647399.0961308025,36.0,1124.0,2491815.7736013387,15.0,203.0,2474507.0789651144,0.0
7,26.0,751.0,2479185.8940406404,34.0,2250.0,2434454.2593355086,30.0,554.0,2494041.6306540477,0.0
8,16.0,1087.0,1847089.976645552,37.0,1694.0,2486140.0257072067,20.0,236.0,2461957.409221929,0.0
9,18.0,713.0,1827238.5919672784,48.0,2868.0,2474619.9439035463,48.0,1359.0,2486674.0666115405,0.0
10,28.0,819.0,2389072.280098739,54.0,2132.0,2470003.2550278194,41.0,655.0,2411050.3973237523,0.0
11,30.0,1360.0,2308256.708931605,45.0,2829.0,2487811.4006896433,29.0,330.0,2477525.2392377793,0.0
12,20.0,893.0,2166870.7812286196,44.0,3901.0,2468512.859208976,41.0,1086.0,2471615.0479239905,0.0
