,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,119.0,7868.0,9395307.886558251,81.0,5441.0,9812673.17342536,55.0,2609.0,9905083.930097193,119.0
1,121.0,7923.0,9789476.688212914,84.0,4472.0,9960641.326772964,77.0,2830.0,9985707.662673064,121.0
2,99.0,9549.0,9720821.855409801,72.0,5773.0,9966890.283915674,65.0,3691.0,9745829.119160779,99.0
3,112.0,7029.0,9728562.671272106,64.0,3097.0,9956104.957940396,57.0,1678.0,9843818.550289566,116.0
4,108.0,6195.0,9926982.829190738,90.0,5114.0,9744420.282115536,61.0,2274.0,9892548.906932367,114.0
5,101.0,6598.0,9498960.462468345,74.0,4680.0,9588680.319518428,67.0,2972.0,9685648.651595395,108.0
6,111.0,7762.0,9818733.972643206,90.0,6097.0,9965960.03795439,55.0,2151.0,9835832.632911842,111.0
7,115.0,9612.0,9744704.818714235,86.0,4059.0,9897062.858421873,63.0,1916.0,9911553.494213762,115.0
8,131.0,8840.0,8818406.775223898,79.0,4499.0,9934133.350312337,83.0,3133.0,9759875.315368034,132.0
9,96.0,9664.0,8254332.708100911,57.0,3350.0,9747086.562465223,53.0,2344.0,9948668.500783851,96.0
10,109.0,8312.0,8410086.679172022,68.0,2785.0,9821641.288820917,73.0,2888.0,9922042.30927267,109.0
11,96.0,10154.0,8915165.51752976,70.0,6365.0,9949884.897995535,35.0,1340.0,9973476.332069729,96.0
12,100.0,7988.0,9615754.46266769,73.0,5254.0,9677694.213166412,66.0,3882.0,9941942.031754835,100.0
