,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit
0,10.0,511.0,2334701.2042453536,26.0,1534.0,2476744.2485620873,18.0,783.0,2469372.875095116,35.0
1,20.0,1126.0,1957390.6698304985,25.0,1499.0,2459669.95134963,18.0,611.0,2158567.971537906,40.0
2,20.0,845.0,1528271.113868855,34.0,2551.0,2224721.7409447604,33.0,1481.0,2352195.9655057746,55.0
3,20.0,1479.0,2397599.4012532365,24.0,1686.0,2241591.240751616,43.0,1407.0,2388533.8947905283,66.0
4,10.0,122.0,1665324.9863001886,32.0,2175.0,2308656.563739242,17.0,250.0,2471046.558524382,46.0
5,10.0,128.0,1875266.2685570158,34.0,1000.0,2479815.023025102,24.0,513.0,2351891.913901445,45.0
6,20.0,556.0,1394915.3850800102,26.0,751.0,2276237.531768281,33.0,547.0,1608819.716542728,54.0
7,10.0,256.0,2681185.6418468067,33.0,1753.0,2335380.6624657265,31.0,1242.0,2435813.4431755403,41.0
8,10.0,313.0,1204242.643789839,38.0,3500.0,2250565.8998849946,20.0,647.0,2449173.7916606506,57.0
9,20.0,412.0,2365232.8131801477,29.0,1809.0,2482731.382078412,23.0,603.0,2419243.864737894,42.0
10,10.0,123.0,1608926.1417548275,37.0,1895.0,2415081.53593595,20.0,1171.0,2460301.2586618382,52.0
11,30.0,1201.0,2321241.001468113,29.0,492.0,2365475.6218804037,37.0,881.0,2439746.507926389,62.0
12,37.0,1337.0,2423085.9365907824,29.0,1091.0,1973231.5804554338,17.0,309.0,2368718.603154491,42.0
