,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,19.0,1086.0,2434764.629784263,20.0,1265.0,2454731.371492402,15.0,771.0,2471434.925755903,21.0,18.0,1595.0,2416202.256003422,18.0,2359.0,2602634.570453884
1,8.0,560.0,1764130.360985544,14.0,1071.0,2167192.303265934,13.0,730.0,1473203.727113047,21.0,21.0,1606.0,2480326.507467998,15.0,1198.0,3376305.467300724
2,20.0,1060.0,2182192.517365988,9.0,695.0,2062291.2118222392,10.0,257.0,2411772.5490707364,21.0,25.0,1521.0,3781807.6788768284,20.0,2279.0,2830669.209270281
3,16.0,831.0,2288079.24745022,21.0,1715.0,2412405.8918568282,20.0,1016.0,2414112.889354673,21.0,25.0,1900.0,2859363.929616433,18.0,1038.0,3406380.856860342
4,18.0,1395.0,2046718.4227113645,19.0,1632.0,2047728.2693079377,18.0,1395.0,2046718.4227113645,20.0,27.0,2459.0,2261338.6028925874,22.0,2294.0,3353736.850357049
5,9.0,536.0,1857095.4379995812,15.0,1325.0,2256892.733343703,9.0,752.0,2339070.377322136,15.0,16.0,2339.0,3342660.5704444908,17.0,735.0,2821810.8389557297
6,30.0,1850.0,1525911.1465961295,30.0,1850.0,1473603.668378864,30.0,1850.0,1707471.39596968,30.0,30.0,1850.0,1525911.14659613,28.0,1705.0,2391045.8044237955
7,13.0,870.0,2172065.0518108006,14.0,1162.0,2279068.810731418,12.0,271.0,1791795.8919539119,16.0,22.0,1665.0,2993935.406198318,13.0,827.0,3633688.582759097
8,15.0,1436.0,1814832.0905453148,15.0,1436.0,1814832.0905453148,15.0,1436.0,1814832.0905453148,15.0,15.0,1436.0,1814832.0905453148,17.0,1797.0,3983124.9323571958
9,9.0,619.0,2068910.3676794497,18.0,1329.0,2363619.033196042,18.0,1329.0,2363619.033196042,20.0,18.0,1383.0,2599151.775596556,22.0,2249.0,4187883.4317556266
10,18.0,463.0,2163862.125765429,17.0,1985.0,2320047.887352696,26.0,1062.0,2334904.429116635,28.0,17.0,1985.0,2270583.723093996,21.0,1531.0,2946415.7885324745
11,16.0,1152.0,1773085.637052046,17.0,1370.0,2495166.961003521,17.0,1370.0,2458204.017225015,18.0,21.0,1904.0,2724594.4989533136,20.0,2137.0,2994784.6591545963
12,10.0,747.0,710575.9833603683,20.0,1689.0,1784828.231372074,19.0,1302.0,2357303.576894523,25.0,22.0,1738.0,2513306.2835884425,21.0,1134.0,4485622.601336911
