,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,19.0,966.0,2455548.443642549,23.0,1395.0,2323448.1089567565,13.0,315.0,2345933.287513601,23.0,21.0,1697.0,2688360.2343999296,18.0,1156.0,3790628.018210699
1,17.0,324.0,2182990.2350609433,14.0,515.0,2127373.6704121865,14.0,1024.0,2433959.460304468,26.0,21.0,1818.0,1552978.4889343875,18.0,1092.0,2993408.6924031144
2,18.0,888.0,1700044.7660358325,24.0,1639.0,2288752.625458793,20.0,1195.0,2461570.6809828207,28.0,22.0,1604.0,2071886.4549591984,15.0,2149.0,3845162.2382638645
3,14.0,962.0,2430418.646019885,14.0,1159.0,2369933.887333831,14.0,891.0,2287892.733351683,14.0,13.0,1982.0,2827838.189669349,12.0,961.0,2287996.7833940084
4,9.0,363.0,1938767.8470614916,18.0,1595.0,2095258.9280511378,12.0,1327.0,2287240.4586821124,18.0,18.0,2043.0,2803520.879525778,24.0,2242.0,2614825.773632792
5,9.0,531.0,1557366.3354414008,26.0,1918.0,2475602.0571324453,16.0,1397.0,2356533.273445439,26.0,19.0,1952.0,2704859.504515743,22.0,1769.0,3372374.399883822
6,10.0,118.0,676855.1778740044,15.0,510.0,2475001.5772948586,22.0,710.0,2499273.7806711867,26.0,26.0,1521.0,2707859.1594186174,21.0,1663.0,2329043.395528726
7,9.0,178.0,1996425.445908543,16.0,1643.0,2423512.318054339,19.0,923.0,2351732.0938691255,31.0,21.0,2435.0,1959363.2599794534,19.0,2050.0,3950816.9338026615
8,10.0,492.0,2184469.996922107,16.0,1408.0,1926229.5732514816,11.0,1772.0,2135018.7440274293,20.0,17.0,1660.0,2230260.6280778847,14.0,1420.0,4309203.451502541
9,8.0,562.0,1538146.167857031,23.0,1829.0,2302802.4504223396,23.0,1806.0,2147768.4777381904,23.0,20.0,2463.0,2266675.3793149283,19.0,1074.0,3318377.756809629
10,28.0,722.0,2396141.845493475,22.0,1331.0,2392377.1238657543,24.0,660.0,2444979.22583365,33.0,30.0,875.0,3175495.5110391183,30.0,1206.0,4061544.4688783684
11,10.0,173.0,1825359.0307058664,22.0,1863.0,2220193.2825440196,24.0,1546.0,2364404.852058609,26.0,21.0,1738.0,2594436.556369744,18.0,846.0,3957045.394772084
12,20.0,387.0,1334574.6389138997,28.0,1335.0,2269799.8085452924,28.0,1335.0,2273657.6559292087,28.0,22.0,1389.0,2357711.9246993894,18.0,1209.0,1829696.1557593935
