,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,30.0,1505.0,2385186.16938302,30.0,1901.0,4717839.290920833,34.0,1917.0,4086745.876895094,34.0,24.0,2589.0,3753308.3863490513,31.0,2144.0,5946772.138066421
1,29.0,1725.0,4871133.934503082,26.0,1602.0,2856163.099524591,26.0,1317.0,3929191.3897104086,29.0,23.0,1659.0,2389342.1153531177,18.0,2170.0,2962157.45979084
2,37.0,1984.0,2666399.9523011437,21.0,1930.0,2434512.8549181,37.0,1984.0,3978609.523110182,37.0,33.0,2568.0,4323862.736980909,21.0,1989.0,3341377.834873544
3,17.0,1485.0,1970899.8116294213,16.0,1752.0,2796524.7019514306,18.0,1864.0,2567989.049100127,18.0,15.0,1832.0,1855569.8388008927,11.0,1875.0,4240536.069285763
4,20.0,1854.0,4013809.7133292295,19.0,1958.0,3479029.8496006047,20.0,1854.0,4173936.74645401,20.0,11.0,1322.0,2915288.6704940703,13.0,1840.0,2857231.036079902
5,16.0,1461.0,2303137.674582546,14.0,1714.0,1665086.523249601,20.0,1914.0,4016096.5162351904,20.0,19.0,1942.0,2096283.1896098992,17.0,1969.0,4608294.442744611
6,23.0,1483.0,4297822.575274754,22.0,1672.0,4978150.307086927,25.0,1973.0,4449228.242338161,25.0,25.0,2284.0,2826219.569864408,19.0,1411.0,3556208.701914476
7,42.0,1599.0,3781428.366593015,45.0,1898.0,4470726.920751976,41.0,1421.0,4756230.572407994,50.0,38.0,1671.0,2137950.8347340818,33.0,1306.0,4358365.73621209
8,30.0,1409.0,3796879.3387764706,30.0,1409.0,3974640.4582396313,30.0,1409.0,3796879.33877647,35.0,20.0,1344.0,2340008.1133572613,26.0,1995.0,3467573.7611799105
9,28.0,1850.0,2813781.110005482,28.0,1850.0,2861525.902383188,28.0,1850.0,2813781.110005482,28.0,15.0,1178.0,1502759.808430362,19.0,1131.0,2319488.088499254
10,32.0,1936.0,3690990.512365998,22.0,1989.0,3502250.599455892,32.0,1936.0,3964010.660695414,32.0,29.0,2259.0,3045955.91718637,23.0,2082.0,5103023.754755511
11,34.0,1504.0,3891949.224167795,37.0,1992.0,4509294.343795773,34.0,1504.0,4560375.232103234,37.0,32.0,1525.0,2287968.4163436345,37.0,1992.0,4509294.343795773
12,32.0,1913.0,4431541.179615895,31.0,1893.0,3894768.177643344,32.0,1913.0,4910811.815260146,32.0,21.0,1881.0,3819484.5547267348,25.0,1957.0,5714546.883144706
