,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,10.0,919.0,2012149.3053867302,17.0,1710.0,2454973.4867373384,15.0,956.0,2414761.64401144,20.0,22.0,1942.0,3276640.4216555418,19.0,1489.0,2718625.1366700474
1,20.0,1454.0,2320173.16702443,20.0,1454.0,2320173.16702443,20.0,1454.0,2320173.16702443,23.0,20.0,2751.0,1903805.3538178585,17.0,2701.0,2866964.720375222
2,10.0,212.0,489864.78424917214,22.0,1286.0,2240628.1846071696,25.0,1371.0,2499775.163482507,25.0,27.0,2104.0,3285459.148307445,20.0,794.0,2273567.0229755878
3,10.0,599.0,1319274.710711388,17.0,939.0,1859622.9880805793,9.0,364.0,2422855.9651512955,17.0,17.0,939.0,1859622.9880805793,17.0,732.0,2608171.804359947
4,10.0,665.0,1816004.6580460917,19.0,833.0,2254193.671421034,19.0,833.0,2141084.8823932568,25.0,23.0,1901.0,3027475.1136233825,22.0,1312.0,3093970.4741415135
5,9.0,410.0,1594500.8856623424,12.0,998.0,2193778.66451062,5.0,104.0,2457589.3498795773,15.0,21.0,1481.0,2750851.2495551696,16.0,1211.0,3523294.358224256
6,10.0,176.0,1653571.8937494482,18.0,975.0,2145922.8513518632,19.0,1150.0,2485755.2655504947,32.0,32.0,1982.0,2588228.902227037,25.0,1076.0,3843817.6641048943
7,8.0,224.0,2061249.2471218163,22.0,1407.0,2182867.13446041,15.0,709.0,2107196.9043170842,22.0,23.0,2309.0,2603619.7559823804,24.0,2479.0,3527046.474102822
8,9.0,828.0,2439020.338330504,26.0,1678.0,2156207.68301843,27.0,1289.0,2226700.91677556,37.0,28.0,3083.0,2972493.565068925,27.0,2540.0,2450218.723654329
9,10.0,482.0,1887838.8623255973,21.0,1676.0,2157499.897000117,10.0,164.0,2493824.586202885,22.0,32.0,2114.0,2768148.807297949,18.0,793.0,4034782.5947315246
10,9.0,771.0,1377435.444494835,20.0,1946.0,2334829.4635134107,15.0,840.0,1479021.319232462,27.0,26.0,1470.0,2749119.570118206,25.0,1897.0,3725109.9611835154
11,10.0,443.0,1105425.3857349209,23.0,2898.0,2175179.0402029725,18.0,1930.0,2401511.641514353,23.0,24.0,3588.0,3447478.1083764764,24.0,3313.0,3016465.0148292244
12,24.0,1295.0,2488844.1199804,24.0,1295.0,2488844.1199804,16.0,375.0,2397235.537768125,24.0,29.0,2118.0,3083075.276306045,21.0,2499.0,4385093.7089947015
