,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,10.0,575.0,1055476.6764107011,17.0,2601.0,2360137.7584069474,12.0,575.0,2494559.5702326754,34.0,23.0,1592.0,1971036.5595185573,21.0,1407.0,2416192.178758764
1,10.0,787.0,2442893.265318146,27.0,3192.0,2437367.6985015264,16.0,1229.0,2489716.852365916,33.0,29.0,2423.0,2984209.7306009745,17.0,1782.0,2441415.892502007
2,20.0,1332.0,2485743.5001870473,20.0,1576.0,2249675.9103588425,21.0,1217.0,2410476.3730827095,30.0,35.0,3190.0,3040598.5691690906,28.0,2952.0,3030204.492623535
3,20.0,1487.0,2237270.9825933115,22.0,1932.0,2117561.611391213,21.0,1007.0,2173741.369611424,35.0,28.0,1259.0,2494290.3275545165,30.0,2293.0,2999036.0874113883
4,10.0,230.0,956979.2264014952,31.0,1791.0,2300751.1296861507,20.0,548.0,2389768.135875327,41.0,33.0,2746.0,3526978.526599288,22.0,1737.0,2589443.7529325774
5,20.0,1060.0,2218486.1370087205,28.0,2737.0,2466287.1201628176,26.0,1106.0,2287479.265350478,32.0,23.0,3036.0,2445540.8615151267,23.0,1111.0,3159119.9524858333
6,10.0,862.0,1313641.907600988,18.0,2058.0,2345083.176733497,14.0,1520.0,2331827.7950914754,32.0,27.0,3386.0,3080812.476258649,19.0,2785.0,1982334.6366364365
7,10.0,790.0,1987885.886513149,23.0,1843.0,2428174.4751862087,28.0,1395.0,2454905.2655259897,30.0,27.0,1217.0,2943603.2163215573,18.0,1345.0,4195482.793925577
8,20.0,1009.0,2200839.7374806846,37.0,2627.0,2421800.665457788,25.0,1333.0,2482772.283085348,38.0,28.0,2942.0,2190859.652445571,26.0,2193.0,1892860.3475498208
9,10.0,359.0,1976327.3210546558,36.0,3328.0,2243660.065016928,34.0,1763.0,2394628.881174614,46.0,36.0,3062.0,2304985.980444727,39.0,3898.0,3219172.7868465064
10,10.0,209.0,1609741.565795865,34.0,2219.0,2245941.122530048,19.0,643.0,2159466.2872475814,35.0,22.0,2017.0,2690134.7563529573,18.0,346.0,2606169.08984683
11,10.0,351.0,2766401.050327729,31.0,1302.0,2035897.160532205,16.0,518.0,2497238.5216353135,41.0,33.0,2175.0,2648607.9301160173,33.0,969.0,4423993.925223779
12,10.0,252.0,1899767.5213643597,28.0,1729.0,2399261.0382318106,25.0,1991.0,2478992.240868775,40.0,28.0,2874.0,2220968.199627138,23.0,3233.0,2468189.887740024
