,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,28.0,1628.0,3253848.4706692267,24.0,1824.0,3444830.836215352,29.0,1807.0,4085682.9870407344,30.0,24.0,1912.0,3158699.2205262706,21.0,1759.0,3651879.383864417
1,23.0,1495.0,3337596.853859529,22.0,1947.0,3910638.5910829776,23.0,1495.0,4711430.60958736,25.000000000000004,21.0,1606.0,2480326.507467998,23.0,1758.0,4486214.803656842
2,30.0,1317.0,4593294.744838813,28.0,1766.0,4879419.661602782,36.0,1860.0,4953317.1738589555,36.0,22.0,1725.0,2926973.458629592,20.0,848.0,4278293.560994787
3,33.0,1761.0,4695538.427199077,22.0,1637.0,4582305.930533775,27.0,1357.0,4923093.444980806,33.0,25.0,1900.0,2859363.929616433,21.0,1460.0,4395215.885610249
4,18.0,1395.0,2046718.4227113645,19.0,1632.0,2047728.2693079377,21.0,1814.0,3712398.110627372,21.0,19.0,2020.0,2167536.695106531,17.0,1440.0,3043863.03791559
5,25.0,1636.0,4003902.8120815665,21.0,1637.0,4793179.96657824,22.0,988.0,4973840.8321500765,28.0,24.0,2779.0,4323395.971702614,18.0,1240.0,4170974.7060986334
6,30.0,1850.0,1525911.1465961295,30.0,1850.0,1473603.668378864,30.0,1850.0,1707471.39596968,30.0,30.0,1850.0,1525911.14659613,28.0,1705.0,2391045.8044237955
7,22.0,1253.0,4021420.7054398065,22.0,1514.0,4544360.977382985,16.0,1203.0,4419128.276615119,28.0,23.0,1957.0,4735168.149332758,14.0,932.0,4874670.354629294
8,19.0,1785.0,3211934.4395155064,19.0,1785.0,3050370.7313151183,19.0,1785.0,3783102.9149537156,19.0,15.0,1436.0,1814832.0905453148,17.0,1797.0,3983124.9323571958
9,30.0,1422.0,4978019.3061494315,32.0,1873.0,4577625.392560318,26.0,1082.0,4797776.832075705,34.0,18.0,1383.0,2599151.775596556,23.0,1865.0,3787935.77966349
10,38.0,1561.0,4501098.980525811,29.0,1753.0,3029950.9983586255,40.0,1881.0,3769670.242377554,40.0,27.0,1966.0,3274572.866874053,21.0,1531.0,2946415.7885324745
11,21.0,1642.0,3461938.945641611,23.0,1956.0,4884146.830799538,22.0,1860.0,4253713.670623023,24.0,21.0,1904.0,2724594.4989533136,15.0,1302.0,3640142.1692295587
12,29.0,1542.0,4473052.917069881,25.0,1913.0,2694681.6519902768,29.0,1542.0,4473052.917069881,32.0,31.0,2842.0,3964330.3515280257,25.0,1913.0,2694681.6519902768
