,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,35.0,1927.0,4069274.755632093,46.0,3914.0,4792737.939650356,28.0,1667.0,4931572.728350349,60.0,33.0,2624.0,4101691.6597616025,27.0,3888.0,4809468.653584037
1,47.0,3406.0,4915144.89523097,49.0,4435.0,4942576.9957596995,36.0,2262.0,4800535.551695544,74.0,51.0,5564.0,4593468.8432695,46.0,4573.0,4773876.241415398
2,34.0,1604.0,4687846.6332383165,38.0,3056.0,4965644.888217428,38.0,1497.0,4904357.679569676,62.0,57.0,6232.0,4988177.367604587,28.0,2311.0,4868420.275500144
3,46.0,1780.0,4674101.224504259,48.0,2527.0,4704962.084833029,35.0,1251.0,4822875.843320659,63.0,42.0,3062.0,4742386.532626597,33.0,2849.0,4590209.95189429
4,39.0,2212.0,4872508.918590916,33.0,1792.0,4807949.983272102,47.0,2809.0,4695899.755554849,80.0,66.0,6319.0,4448684.463192994,30.0,2016.0,4012308.4129215013
5,20.0,1444.0,3940577.3741872087,41.0,3348.0,4839508.866885331,32.0,617.0,4946141.467698956,70.0,54.0,5047.0,4922622.19133847,29.0,786.0,4884780.630978248
6,43.0,2937.0,4909730.106026613,51.0,3895.0,4900138.342924792,45.0,3264.0,4827657.437375626,67.0,43.0,5500.0,4550601.589901839,30.0,3440.0,4625773.035293227
7,49.0,2409.0,4858049.997923452,71.0,3615.0,4903844.81797695,55.0,2211.0,4963229.280090352,100.0,71.0,6083.0,5107089.201132237,47.0,3707.0,4155819.327332101
8,48.0,2201.0,4864058.680303758,43.0,2696.0,4903075.322696258,44.0,1459.0,4728010.228280343,86.0,65.0,5594.0,5216804.50358963,49.0,3623.0,4608358.572544496
9,58.0,4479.0,4617350.3805703465,46.0,2577.0,4739386.689591293,29.0,1940.0,4986483.908539993,84.0,66.0,4832.0,4290676.006589153,34.0,2434.0,4314237.568864501
10,46.0,2999.0,4922568.546292604,69.0,4726.0,4981910.545691317,38.0,1651.0,4822515.746933114,86.0,59.0,6205.0,4622220.104616165,54.0,4743.0,5850401.371593917
11,56.0,3970.0,4823581.323846431,52.0,4227.0,4323132.083065528,43.0,2179.0,4967827.7071412895,84.0,71.0,5045.0,4908810.162725691,41.0,3720.0,4254825.112672192
12,38.0,2380.0,4680268.168495265,58.0,4608.0,4922163.301998106,27.0,847.0,4925534.90505335,83.0,62.0,6494.0,4990293.984268364,34.0,3690.0,4370365.075653641
