,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,30.0,705.0,4477415.926617051,25.0,1928.0,3695540.8806702592,43.0,1978.0,4932589.039285947,46.0,29.0,1762.0,4158952.8604001896,37.0,1908.0,4672137.249282837
1,36.0,1187.0,4562899.361419262,21.0,1993.0,2179466.9072300973,33.0,1711.0,4952328.56968067,43.0,28.0,1232.0,3242680.4644275736,26.0,2121.0,3196083.255990227
2,44.0,1736.0,2998878.023251348,39.0,1865.0,3281106.2068549492,44.0,1736.0,4881397.886355155,45.0,30.0,1241.0,2345970.815935041,27.0,1823.0,2594279.867972853
3,29.0,1464.0,4527869.7400513925,30.0,1865.0,3226998.3763215514,33.0,1767.0,4822738.615372515,35.0,20.0,1768.0,2379286.0766570093,19.0,1388.0,2974649.066385361
4,47.0,1656.0,4714851.871811716,29.0,1808.0,4868128.638364728,33.0,1283.0,4911972.128525695,50.0,30.0,1911.0,3695194.928643944,23.0,1882.0,4725451.992283788
5,33.0,1734.0,4385914.069615313,20.0,1872.0,2555321.4304154003,28.0,1418.0,4847895.713101746,33.0,31.0,2177.0,4523339.311406306,19.0,1863.0,2122521.393805557
6,38.0,1961.0,4799864.270672945,38.0,1961.0,4884003.331901037,32.0,1523.0,4605833.43852444,38.0,28.0,1938.0,3494384.381536535,20.0,1566.0,4007411.8183897114
7,58.0,1645.0,4864675.928763217,45.0,1926.0,3178573.964331193,45.0,1703.0,4830678.547311272,60.0,36.0,1917.0,3133509.8052453035,28.0,1844.0,4393033.655815497
8,38.0,1630.0,4986082.797106092,32.0,1738.0,4607986.114204451,37.0,1776.0,4958487.577088681,41.0,30.0,1886.0,4528732.666379221,26.0,2033.0,5849054.374155033
9,36.0,962.0,4314067.420966144,39.0,1940.0,4409678.167106667,41.0,1124.0,4945092.96525659,47.0,24.0,1550.0,3961508.525575098,23.0,1030.0,4927770.287409261
10,28.0,1575.0,3542855.9093790017,26.0,1934.0,4121694.6657449454,30.0,1750.0,4481531.568875157,33.0,18.0,1890.0,3457814.759954488,20.0,1941.0,4519748.813596857
11,20.0,1464.0,2839560.8799325903,21.0,1960.0,4566352.629742573,20.0,1464.0,3639745.6560621336,23.0,18.0,1864.0,3246429.660455024,16.0,1410.0,1787245.6418368
12,28.0,1805.0,4448062.096742657,27.0,1988.0,2451713.1861800645,25.0,1576.0,4671168.772586226,28.0,23.0,1608.0,5216579.7115890365,16.0,1447.0,2197865.660386796
