,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,52.0,1816.0,6263476.908849991,30.0,1900.0,4145551.1921774717,52.0,1816.0,8765806.380079143,52.00000000000007,42.0,1662.0,6263665.292803123,40.0,2232.0,4958164.886619119
1,50.0,1768.0,5474411.625513527,42.0,1905.0,3959252.223258666,50.0,1768.0,8457549.983246788,50.0,34.0,1954.0,2571090.338131204,34.0,2774.0,7582800.184801859
2,48.0,1951.0,3896186.7837667405,37.0,1974.0,4158214.5725880177,48.0,1951.0,4730770.55734824,48.0,39.0,1941.0,2657768.50931409,30.0,1194.0,2387635.2932478543
3,38.0,1866.0,3876127.0928029707,32.0,1877.0,3779544.76772052,38.0,1866.0,5044502.209913002,38.0,29.0,1682.0,2787247.1580949174,22.0,1935.0,3933388.177632259
4,27.0,1712.0,3730755.9400341087,22.0,1897.0,3825107.4567688275,28.0,1996.0,5779328.599109524,28.0,16.0,2451.0,2502207.660174539,22.0,1832.0,2744634.940231048
5,49.0,1751.0,5770049.580255027,43.0,1908.0,5355707.17206004,49.0,1751.0,7603166.327227495,50.0,26.0,1575.0,2584146.311688651,32.0,2125.0,6063851.613515358
6,34.0,1728.0,4711414.892448152,25.0,1925.0,3275135.34779061,35.0,1993.0,7299390.838284089,35.0,19.0,1175.0,3217051.1899086246,31.0,2120.0,8694972.923522351
7,39.0,1953.0,6662070.1033447785,24.0,1990.0,3481085.713238477,39.0,1953.0,8435903.694750834,39.0,22.0,1603.0,2851415.7766922168,32.0,2148.0,8432545.707756288
8,23.0,1076.0,3780368.1588656562,29.0,1967.0,4032512.441590135,31.0,1883.0,5193362.492834756,31.0,25.0,1945.0,5221060.733527795,16.0,1513.0,2411872.3782759877
9,38.0,1863.0,5979301.978691828,33.0,1939.0,4205652.735481045,38.0,1863.0,6826793.7028201725,38.0,32.0,2003.0,4370098.862397716,25.0,2600.0,5309877.705513902
10,51.0,1792.0,5605015.986625548,43.0,1853.0,4719121.40002126,52.0,1988.0,8188693.078942725,52.0,31.0,2338.0,3092703.2714243373,41.0,2515.0,7784084.582678487
11,42.0,1593.0,5902459.045910171,38.0,1999.0,4663147.507114802,46.0,1963.0,5559144.779388888,46.0,29.0,1682.0,2697691.0042327717,31.0,1902.0,5585392.142671845
12,36.0,1844.0,3332314.592565413,29.0,1971.0,2754428.031783782,36.0,1844.0,3947501.339296636,38.0,20.0,1775.0,1665703.4986345957,22.0,1709.0,1927259.0579229228
