,rseo_profit,rseo_storage,rseo_energy,mre_profit,mre_storage,mre_energy,mrs_profit,mrs_storage,mrs_energy,opt_profit,partition_dfs_profit,partition_dfs_storage,partition_dfs_energy,partition_bfs_profit,partition_bfs_storage,partition_bfs_energy
0,18.0,254.0,2276184.8848601324,20.0,1095.0,2375848.861907558,18.0,254.0,2276184.8848601324,28.0,19.0,1714.0,1915922.6799957557,26.0,2359.0,4057424.5081024114
1,16.0,850.0,2030013.6169403559,23.0,1918.0,2489980.0906800153,17.0,1577.0,2099564.337380651,23.0,27.0,2696.0,3844804.553957071,20.0,2559.0,3064687.4051236077
2,28.0,1025.0,2445227.903100636,33.0,1653.0,2499123.066650218,33.0,1653.0,2499123.066650218,33.0,28.0,2098.0,2487943.8173152404,26.0,1122.0,3670879.1961400663
3,19.0,690.0,1237552.5296345835,28.0,1942.0,2227983.6906939596,28.0,1427.0,2433713.2596559785,29.0,28.0,1478.0,2484445.429237207,25.0,1511.0,3381036.318340241
4,26.0,734.0,2475846.639046847,26.0,734.0,2475846.639046847,26.0,734.0,2261170.9785732226,30.0,23.0,1828.0,2506442.5003247643,23.0,743.0,3887018.8682827656
5,27.0,1795.0,2205083.5140857752,23.0,1927.0,2370340.1909254882,17.0,940.0,1957623.9807235554,27.0,22.0,2214.0,4051101.329051053,23.0,2216.0,3678171.47240546
6,8.0,172.0,1980568.3597084847,17.0,1437.0,2230250.4085240513,14.0,638.0,2359362.2678854275,21.0,19.0,1323.0,4061616.150219244,15.0,1052.0,3068947.868588901
7,21.0,1269.0,1961149.5807698162,21.0,1269.0,1961149.580769816,12.0,1124.0,2120470.80122278,21.0,18.0,1590.0,1938206.666916541,23.0,1554.0,2727906.3629300767
8,10.0,610.0,2159660.8696664344,14.0,1203.0,2382211.2863456826,14.0,1203.0,2382211.2863456826,18.0,25.0,1391.0,4556757.409799931,17.0,1004.0,3628505.7731822277
9,25.0,839.0,2370533.9533294807,16.0,726.0,1780362.805949737,25.0,839.0,2373966.2222409607,31.0,27.0,2009.0,3346520.005059485,18.0,2202.0,4151882.7908132668
10,20.0,905.0,1413796.5613649995,23.0,1367.0,2323460.015861632,20.0,670.0,2080371.9909571891,28.0,33.0,1746.0,2548214.9340187022,33.0,1746.0,2548214.9340187022
11,9.0,507.0,1351889.2265625922,19.0,1689.0,2335677.905995604,14.0,625.0,2468491.733349326,19.0,16.0,1281.0,2024681.5263109861,21.0,2069.0,2930273.9501234004
12,15.0,1133.0,2051305.5706882088,23.0,1976.0,2290652.2603105996,21.0,1333.0,2390915.314715386,23.0,16.0,1340.0,1621556.3144165692,18.0,1909.0,1938755.106573429
