,x,n,rseo,rseo_std,rseo_conf,mre,mre_std,mre_conf,mrs,mrs_std,mrs_conf,opt,opt_std,opt_conf
0,1.0,10.0,1.0,0.0,0.0,0.9928404928404929,0.017481724606602318,0.01014965941158694,0.9845026768103692,0.04360240953856912,0.025314985580648527,1.0,0.0,0.0
1,2.0,15.0,1.0,0.0,0.0,0.921764087014685,0.05506925398923283,0.03197248467292501,0.8607542413089605,0.07525451815855792,0.043691783601486345,1.0,0.0,0.0
2,3.0,20.0,1.0,0.0,0.0,0.8483301343595462,0.05400356500845459,0.03135375966512484,0.7009488996762753,0.07468260865512427,0.04335974046474061,1.0,0.0,0.0
3,4.0,25.0,1.0,0.0,0.0,0.7801042429397204,0.06744644530589498,0.03915851918400108,0.6692769152581823,0.07663886685677565,0.044495518250668345,1.0,0.0,0.0
